NVDA,522.83,-4.62,522,524,58.13
OCUL,18.57,-1.38,18.3,18.8,19.83
ORCL,67.27,0.95,67.28,67.36,22.47
ORLY,485.29,-5.55,477,502.14,67.59
PEP,139.46,1.66,139.6,139.8,92.63
PFE,35.36,-0.64,35.36,35.4,56.67
PG,132.6,2.42,132.26,132.5,91.18
PINS,71.24,-1.11,70.9,71.52,47.86
PLTR,23.26,-0.96,23.25,23.27,3.66
PTON,113.35,3.81,112.98,113.37,66.93
PYPL,243.77,-0.615,242,243.4,37.32
QCOM,132.52,-1.57,132.32,132.6,61.4
QQQ,317.22,-1.39,317.75,317.9,51.99
RBLX,83.9,-5,83.5,83.8,6.2
RCL,83.9,-5,83.5,83.8,6.2
REGN,469.76,-13.46,466.02,473.5,17.94
ROKU,342.24,-14.08,340.5,341,19.41
ROST,116.68,-3.98,116,118.2,10.26
SBUX,106.25,-1.32,106.25,106.28,8.64
SHAK,115.1,-4.29,115,118,5.46
SHOP,1162,2,1165,1169,74.66
SNAP,55.26,-2.9,55.3,55.65,6.27
SONO,38.8,-2.29,38.52,38.99,20.93
SPOT,267.3,-8.17,267,286,4.35
SPY,389.5,-3.09,389.24,389.66,21.42
SQ,223.2,-2.93,221.7,222.44,11.16
TEX,42.69,-3.02,42.57,43.44,5.49
TLRY,23.22,-0.68,22.95,22.98,10.38
TMUS,124.39,-1.72,124.39,125.25,19.75
TSLA,662.16,-7.84,663,663.98,40.27
TTWO,173.85,1.97,173.51,175,77.06
TWLO,354.42,-5.38,354.22,355.99,25.04
TWTR,64.27,-0.94,64.09,64.5,2.06
TXN,178.78,-1.32,178.35,180.5,71.42
UBER,53.49,-2.2,53.52,53.68,4.8
UG,15.3,-0.19,14,16,80.13
ULTA,309.53,-5.56,308.26,312.29,7.72
UNH,368.5,1.64,364.13,369.29,86.81
UNP,208.05,1.78,208.01,208.5,25.29
UPS,159.86,-1.2,159.5,159.86,13.02
URI,299.93,-11.55,297.1,303,11.09
USB,53.58,-0.66,51.3,54.26,18.48
USO,39.37,-2.34,39.47,39.58,1.86
W,335.93,-9.54,333.11,344,61.85
WBA,52.03,-1.08,52.6,52.9,45.32
WDAY,257.39,0.12,251,262,71.63
WDC,65.46,-4.87,65.4,65.72,9.71
WMT,133.94,1.57,134.25,134.4,87.1
WYNN,125.15,-7.72,124.89,125.5,3.99
XLU,62.57,0.92,61.26,62.51,62.07
XOM,55.22,-0.69,55.18,55.24,9.51
ZM,339.76,11.26,340,341,59.7
